Top 100 häufigste Wörter:

ES: 59 Vorkommen, 5 Punkte
EI: 47 Vorkommen, 5 Punkte
ER: 45 Vorkommen, 5 Punkte
RE: 45 Vorkommen, 5 Punkte
EG: 39 Vorkommen, 6 Punkte
NR: 39 Vorkommen, 5 Punkte
NS: 39 Vorkommen, 5 Punkte
NEE: 36 Vorkommen, 7 Punkte
EH: 36 Vorkommen, 6 Punkte
EU: 36 Vorkommen, 6 Punkte
HE: 36 Vorkommen, 6 Punkte
AN: 36 Vorkommen, 5 Punkte
IN: 36 Vorkommen, 5 Punkte
NA: 36 Vorkommen, 5 Punkte
SI: 36 Vorkommen, 5 Punkte
SEE: 34 Vorkommen, 7 Punkte
NN: 34 Vorkommen, 5 Punkte
NT: 33 Vorkommen, 5 Punkte
NU: 29 Vorkommen, 6 Punkte
UN: 29 Vorkommen, 6 Punkte
ST: 28 Vorkommen, 5 Punkte
EIS: 26 Vorkommen, 7 Punkte
SIE: 26 Vorkommen, 7 Punkte
SU: 26 Vorkommen, 6 Punkte
TU: 26 Vorkommen, 6 Punkte
US: 26 Vorkommen, 6 Punkte
AT: 26 Vorkommen, 5 Punkte
IT: 26 Vorkommen, 5 Punkte
EEG: 25 Vorkommen, 8 Punkte
AR: 25 Vorkommen, 5 Punkte
IEA: 24 Vorkommen, 7 Punkte
REN: 24 Vorkommen, 7 Punkte
SEI: 24 Vorkommen, 7 Punkte
AU: 23 Vorkommen, 6 Punkte
EC: 23 Vorkommen, 6 Punkte
HR: 23 Vorkommen, 6 Punkte
NM: 22 Vorkommen, 7 Punkte
GI: 22 Vorkommen, 6 Punkte
IG: 22 Vorkommen, 6 Punkte
SD: 21 Vorkommen, 7 Punkte
TH: 21 Vorkommen, 6 Punkte
UI: 21 Vorkommen, 6 Punkte
AD: 20 Vorkommen, 7 Punkte
DA: 20 Vorkommen, 7 Punkte
EM: 20 Vorkommen, 7 Punkte
SC: 20 Vorkommen, 6 Punkte
SA: 20 Vorkommen, 5 Punkte
ID: 19 Vorkommen, 7 Punkte
SET: 19 Vorkommen, 7 Punkte
TEE: 19 Vorkommen, 7 Punkte
EHE: 18 Vorkommen, 8 Punkte
NEU: 18 Vorkommen, 8 Punkte
UTE: 18 Vorkommen, 8 Punkte
EIN: 18 Vorkommen, 7 Punkte
ETA: 18 Vorkommen, 7 Punkte
IRE: 18 Vorkommen, 7 Punkte
NIE: 18 Vorkommen, 7 Punkte
TAN: 18 Vorkommen, 7 Punkte
NL: 18 Vorkommen, 6 Punkte
SEEN: 17 Vorkommen, 10 Punkte
GEN: 17 Vorkommen, 8 Punkte
DR: 17 Vorkommen, 7 Punkte
IAN: 17 Vorkommen, 7 Punkte
MR: 17 Vorkommen, 7 Punkte
NET: 17 Vorkommen, 7 Punkte
REES: 16 Vorkommen, 10 Punkte
EAU: 16 Vorkommen, 8 Punkte
LEE: 16 Vorkommen, 8 Punkte
REG: 16 Vorkommen, 8 Punkte
RNA: 16 Vorkommen, 7 Punkte
GT: 16 Vorkommen, 6 Punkte
HI: 16 Vorkommen, 6 Punkte
AEG: 15 Vorkommen, 8 Punkte
ESC: 15 Vorkommen, 8 Punkte
EUR: 15 Vorkommen, 8 Punkte
RUE: 15 Vorkommen, 8 Punkte
SEH: 15 Vorkommen, 8 Punkte
WE: 15 Vorkommen, 8 Punkte
ANS: 15 Vorkommen, 7 Punkte
