TEEN: 18 Vorkommen, 10 Punkte
EINE: 16 Vorkommen, 10 Punkte
EDEN: 14 Vorkommen, 12 Punkte
REET: 14 Vorkommen, 10 Punkte
TEER: 14 Vorkommen, 10 Punkte
REES: 13 Vorkommen, 10 Punkte
SEEN: 13 Vorkommen, 10 Punkte
ERDE: 12 Vorkommen, 12 Punkte
EHEN: 12 Vorkommen, 11 Punkte
EIER: 12 Vorkommen, 10 Punkte
EISE: 12 Vorkommen, 10 Punkte
ENTE: 12 Vorkommen, 10 Punkte
ESTE: 12 Vorkommen, 10 Punkte
REIN: 12 Vorkommen, 10 Punkte
RENS: 12 Vorkommen, 10 Punkte
REED: 11 Vorkommen, 12 Punkte
EGER: 11 Vorkommen, 11 Punkte
REGE: 11 Vorkommen, 11 Punkte
INNE: 11 Vorkommen, 10 Punkte
NEIN: 11 Vorkommen, 10 Punkte
TEES: 11 Vorkommen, 10 Punkte
REINE: 10 Vorkommen, 14 Punkte
DENN: 10 Vorkommen, 12 Punkte
EDER: 10 Vorkommen, 12 Punkte
ENDE: 10 Vorkommen, 12 Punkte
REDE: 10 Vorkommen, 12 Punkte
TEDS: 10 Vorkommen, 12 Punkte
NAGE: 10 Vorkommen, 11 Punkte
SEHE: 10 Vorkommen, 11 Punkte
AESE: 10 Vorkommen, 10 Punkte
EINT: 10 Vorkommen, 10 Punkte
IEEE: 10 Vorkommen, 10 Punkte
IREN: 10 Vorkommen, 10 Punkte
NIET: 10 Vorkommen, 10 Punkte
REIS: 10 Vorkommen, 10 Punkte
REST: 10 Vorkommen, 10 Punkte
TEIN: 10 Vorkommen, 10 Punkte
TEERE: 9 Vorkommen, 14 Punkte
EDIE: 9 Vorkommen, 12 Punkte
EIDE: 9 Vorkommen, 12 Punkte
EHRE: 9 Vorkommen, 11 Punkte
GENE: 9 Vorkommen, 11 Punkte
REHS: 9 Vorkommen, 11 Punkte
ENNS: 9 Vorkommen, 10 Punkte
INES: 9 Vorkommen, 10 Punkte
NEST: 9 Vorkommen, 10 Punkte
RENN: 9 Vorkommen, 10 Punkte
SAEE: 9 Vorkommen, 10 Punkte
NEGER: 8 Vorkommen, 15 Punkte
REGEN: 8 Vorkommen, 15 Punkte
TEERT: 8 Vorkommen, 14 Punkte
TRETE: 8 Vorkommen, 14 Punkte
IDEE: 8 Vorkommen, 12 Punkte
MEER: 8 Vorkommen, 12 Punkte
RIED: 8 Vorkommen, 12 Punkte
EHER: 8 Vorkommen, 11 Punkte
EURE: 8 Vorkommen, 11 Punkte
HEER: 8 Vorkommen, 11 Punkte
HIER: 8 Vorkommen, 11 Punkte
REHE: 8 Vorkommen, 11 Punkte
REIH: 8 Vorkommen, 11 Punkte
SEHR: 8 Vorkommen, 11 Punkte
ERIS: 8 Vorkommen, 10 Punkte
RIET: 8 Vorkommen, 10 Punkte
SEAN: 8 Vorkommen, 10 Punkte
SETS: 8 Vorkommen, 10 Punkte
SIRE: 8 Vorkommen, 10 Punkte
EDENS: 7 Vorkommen, 16 Punkte
ELISE: 7 Vorkommen, 15 Punkte
GREEN: 7 Vorkommen, 15 Punkte
REIHE: 7 Vorkommen, 15 Punkte
ENTER: 7 Vorkommen, 14 Punkte
ESTER: 7 Vorkommen, 14 Punkte
TEENS: 7 Vorkommen, 14 Punkte
HEDI: 7 Vorkommen, 13 Punkte
DIES: 7 Vorkommen, 12 Punkte
GEHE: 7 Vorkommen, 12 Punkte
HEGE: 7 Vorkommen, 12 Punkte
MINE: 7 Vorkommen, 12 Punkte
RIND: 7 Vorkommen, 12 Punkte
SEID: 7 Vorkommen, 12 Punkte
ELIS: 7 Vorkommen, 11 Punkte
ELSE: 7 Vorkommen, 11 Punkte
ENGE: 7 Vorkommen, 11 Punkte
GERT: 7 Vorkommen, 11 Punkte
HEIN: 7 Vorkommen, 11 Punkte
IHRE: 7 Vorkommen, 11 Punkte
LEIS: 7 Vorkommen, 11 Punkte
LISE: 7 Vorkommen, 11 Punkte
RUNE: 7 Vorkommen, 11 Punkte
SIEH: 7 Vorkommen, 11 Punkte
SIEL: 7 Vorkommen, 11 Punkte
USER: 7 Vorkommen, 11 Punkte
ARIE: 7 Vorkommen, 10 Punkte
EINS: 7 Vorkommen, 10 Punkte
SEES: 7 Vorkommen, 10 Punkte
TEST: 7 Vorkommen, 10 Punkte
ERDEN: 6 Vorkommen, 16 Punkte
RESTE: 6 Vorkommen, 14 Punkte
NERD: 6 Vorkommen, 12 Punkte
